Abbreviations,ActiveTime,Currentname,HeadQuarters,LogoDates,Logos,Names,OwnerDate,Owners,Popularevents,SocialMedia,Televisionshows,Website
"Impact Wrestling, TNA, NWA TNA, GFW",2002 - today,Impact Wrestling,"Nashville, Tennessee, USA","Impact Wrestling, (10.01.2018 - 17.10.2019), (06.03.2017 - 09.01.2018), (13.01.2017 - 05.03.2017), (09.06.2004 - 12.01.2017), (2002 - 08.06.2004),TNA Xplosion (2015 - 01.2017),TNA Xplosion (2010 - 2014),TNA Xplosion (2005 - 2009),TNA Xplosion (06.2004 - 2004),NWA TNA Xplosion (2002 - 2004),Impact Wrestling Xplosion (2020 - today),Impact Wrestling Xplosion (02.2017 - 2019),Impact Wrestling Before The Impact ","/site/main/img/ligen/small/5.gif,/site/main/img/ligen/small/5__20180110-20191017.gif,/site/main/img/ligen/small/5__20170306-20180109.gif,/site/main/img/ligen/small/5__20170113-20170305.gif,/site/main/img/ligen/small/5__20040609-20170112.gif,/site/main/img/ligen/small/5__2002-20040608.gif,/site/main/img/ligen/small/5_TNA Xplosion_2015-201701.gif,/site/main/img/ligen/small/5_TNA Xplosion_2010-2014.gif,/site/main/img/ligen/small/5_TNA Xplosion_2005-2009.gif,/site/main/img/ligen/small/5_TNA Xplosion_200406-2004.gif,/site/main/img/ligen/small/5_NWA TNA Xplosion_2002-2004.gif,/site/main/img/ligen/small/5_Impact Wrestling Xplosion_2020-.gif,/site/main/img/ligen/small/5_Impact Wrestling Xplosion_201702-2019.gif,/site/main/img/ligen/small/5_Impact Wrestling Before The Impact.gif","Impact Wrestling (2017 - today),Global Force Wrestling  (2017),Impact Wrestling (2017),Total Nonstop Action Wrestling (09.06.2004 - 2017),National Wrestling Alliance Total Nonstop Action (2002 - 08.06.2004)",,"Anthem Wrestling Exhibitions LLC. (2017 - today),Dixie Carter, & Anthem Wrestling Exhibitions LLC. (2016 - 2017),Dixie Carter, & ,Billy Corgan, (2016),Dixie Carter, (2015 - 2016),Dixie Carter, & ,Jeff Jarrett, (2002 - 2015),Jerry Jarrett, & ,Jeff Jarrett, (2002)","Bound For Glory,Lockdown,Slammiversary,Turning Point","http://www.impactwrestling.com,https://www.twitch.tv/impactwrestling,https://www.youtube.com/user/TNAWrestling,https://twitter.com/IMPACTWRESTLING,https://www.facebook.com/ImpactWrestling","IMPACT Wrestling/iMPACT,Xplosion",
JCW,1999 - today,Juggalo Championship Wrestling,"Detroit, Michigan, USA",Juggalo Championship Wrestling,/site/main/img/ligen/small/316.gif,"Juggalo Championship Wrestling (2007 - today),Juggalo Championshit Wrestling (1999 - 2007)",,"Shaggy 2 Dope, & ,Violent J, (1999 - today)",,https://twitter.com/realjcw,,
"WWE, WWF, WWWF, NWA Capitol Wrestling, NWA Capital Sports",1948 - today,World Wrestling Entertainment,"Stamford, Connecticut, USA","World Wrestling Entertainment, (06.05.2002 - 08.2014), (11.1997 - 05.05.2002), (1995 - 10.1997), (1985 - 1994), (1982 - 1984), (30.03.1979 - 1982), (1971 - 29.03.1979), (24.01.1963 - 1971), (1952 - 23.01.1963),WWF Wrestling Challenge ,WWF Tough Enough (21.06.2001 - 02.05.2002),WWF Superstars ,WWF Sunday Night Heat (26.09.2000 - 29.04.2002),WWF Sunday Night Heat (27.07.1998 - 24.09.2000),WWF SmackDown (14.08.2001 - 30.04.2002),WWF SmackDown (1999 - 07.08.2001),WWF Shotgun Saturday Night (04.01.1997 - 21.10.1997),WWF Shotgun Saturday Night ,WWF RAW (01.04.2002 - 29.04.2002),WWF RAW (17.09.2001 - 25.03.2002),WWF RAW is WAR (10.03.1997 - 10.09.2001),WWF Prime Time Wrestling ,WWF Monday Night RAW (1993 - 26.02.1997),WWF Jakked ,WWF In Your House ,WWF Action Zone ,WWE Velocity ,WWE Tough Enough (25.08.2015 - 25.08.2015),WWE Tough Enough (04.04.2011 - 06.06.2011),WWE Tough Enough (09.05.2002 - 23.01.2003),WWE Thursday Night SmackDown (13.01.2015 - 12.07.2016),WWE Superstars (14.04.2009 - 21.11.2016),WWE Sunday Stunner (2022 - today),WWE Sunday Night Heat (06.05.2002 - 19.09.2005),WWE SmackDown (07.05.2002 - 30.08.2005),WWE SmackDown Live ,WWE Saturday Night's Main Event (2022 - today),WWE Saturday Morning Slam ,WWE RAW (06.05.2002 - 26.09.2005),WWE NXT (14.09.2021 - today),WWE NXT (17.05.2012 - 13.09.2021),WWE NXT (2010 - 16.05.2012),WWE NXT UK ,WWE NXT Level Up ,WWE Monday Night RAW (30.09.2019 - today),WWE Monday Night RAW (25.07.2016 - 23.09.2019),WWE Monday Night RAW (23.07.2012 - 18.07.2016),WWE Monday Night RAW (09.10.2006 - 16.07.2012),WWE Monday Night RAW (03.10.2005 - 02.10.2006),WWE Main Event ,WWE Heat (26.09.2005 - 26.05.2008),WWE Friday Night SmackDown (04.10.2019 - today),WWE Friday Night SmackDown (22.01.2008 - 06.01.2015),WWE Friday Night SmackDown (06.09.2005 - 15.01.2008),WWE 205 Live ,ECW ","/site/main/img/ligen/small/1.gif,/site/main/img/ligen/small/1__20020506-201408.gif,/site/main/img/ligen/small/1__199711-20020505.gif,/site/main/img/ligen/small/1__1995-199710.gif,/site/main/img/ligen/small/1__1985-1994.gif,/site/main/img/ligen/small/1__1982-1984.gif,/site/main/img/ligen/small/1__19790330-1982.gif,/site/main/img/ligen/small/1__1971-19790329.gif,/site/main/img/ligen/small/1__19630124-1971.gif,/site/main/img/ligen/small/1__1952-19630123.gif,/site/main/img/ligen/small/1_WWF Wrestling Challenge.gif,/site/main/img/ligen/small/1_WWF Tough Enough_20010621-20020502.gif,/site/main/img/ligen/small/1_WWF Superstars.gif,/site/main/img/ligen/small/1_WWF Sunday Night Heat_20000926-20020429.gif,/site/main/img/ligen/small/1_WWF Sunday Night Heat_19980727-20000924.gif,/site/main/img/ligen/small/1_WWF SmackDown_20010814-20020430.gif,/site/main/img/ligen/small/1_WWF SmackDown_1999-20010807.gif,/site/main/img/ligen/small/1_WWF Shotgun Saturday Night_19970104-19971021.gif,/site/main/img/ligen/small/1_WWF Shotgun Saturday Night.gif,/site/main/img/ligen/small/1_WWF RAW_20020401-20020429.gif,/site/main/img/ligen/small/1_WWF RAW_20010917-20020325.gif,/site/main/img/ligen/small/1_WWF RAW is WAR_19970310-20010910.gif,/site/main/img/ligen/small/1_WWF Prime Time Wrestling.gif,/site/main/img/ligen/small/1_WWF Monday Night RAW_1993-19970226.gif,/site/main/img/ligen/small/1_WWF Jakked.gif,/site/main/img/ligen/small/1_WWF In Your House.gif,/site/main/img/ligen/small/1_WWF Action Zone.gif,/site/main/img/ligen/small/1_WWE Velocity.gif,/site/main/img/ligen/small/1_WWE Tough Enough_20150825-20150825.gif,/site/main/img/ligen/small/1_WWE Tough Enough_20110404-20110606.gif,/site/main/img/ligen/small/1_WWE Tough Enough_20020509-20030123.gif,/site/main/img/ligen/small/1_WWE Thursday Night SmackDown_20150113-20160712.gif,/site/main/img/ligen/small/1_WWE Superstars_20090414-20161121.gif,/site/main/img/ligen/small/1_WWE Sunday Stunner_2022-.gif,/site/main/img/ligen/small/1_WWE Sunday Night Heat_20020506-20050919.gif,/site/main/img/ligen/small/1_WWE SmackDown_20020507-20050830.gif,/site/main/img/ligen/small/1_WWE SmackDown Live.gif,/site/main/img/ligen/small/1_WWE Saturday Night's Main Event_2022-.gif,/site/main/img/ligen/small/1_WWE Saturday Morning Slam.gif,/site/main/img/ligen/small/1_WWE RAW_20020506-20050926.gif,/site/main/img/ligen/small/1_WWE NXT_20210914-.gif,/site/main/img/ligen/small/1_WWE NXT_20120517-20210913.gif,/site/main/img/ligen/small/1_WWE NXT_2010-20120516.gif,/site/main/img/ligen/small/1_WWE NXT UK.gif,/site/main/img/ligen/small/1_WWE NXT Level Up.gif,/site/main/img/ligen/small/1_WWE Monday Night RAW_20190930-.gif,/site/main/img/ligen/small/1_WWE Monday Night RAW_20160725-20190923.gif,/site/main/img/ligen/small/1_WWE Monday Night RAW_20120723-20160718.gif,/site/main/img/ligen/small/1_WWE Monday Night RAW_20061009-20120716.gif,/site/main/img/ligen/small/1_WWE Monday Night RAW_20051003-20061002.gif,/site/main/img/ligen/small/1_WWE Main Event.gif,/site/main/img/ligen/small/1_WWE Heat_20050926-20080526.gif,/site/main/img/ligen/small/1_WWE Friday Night SmackDown_20191004-.gif,/site/main/img/ligen/small/1_WWE Friday Night SmackDown_20080122-20150106.gif,/site/main/img/ligen/small/1_WWE Friday Night SmackDown_20050906-20080115.gif,/site/main/img/ligen/small/1_WWE 205 Live.gif,/site/main/img/ligen/small/1_ECW.gif","World Wrestling Entertainment (05.05.2002 - today),World Wrestling Federation (30.03.1979 - 04.05.2002),World Wide Wrestling Federation (24.01.1963 - 29.03.1979),National Wrestling Alliance Capitol Wrestling Federation (1952 - 23.01.1963),National Wrestling Alliance Capital Sports (1948 - 1952)",,"Vince McMahon, (1982 - today),Vince McMahon Sr., (1952 - 1982),Jess McMahon, & ,Toots Mondt, (1948 - 1952)","WrestleMania,SummerSlam,Royal Rumble,Survivor Series,NXT TakeOver/NXT UK TakeOver,King Of The Ring,Elimination Chamber,Hell In A Cell,Money In The Bank,Extreme Rules,Backlash,Judgment Day,Unforgiven,No Mercy,Fastlane,Battleground,Payback,Night Of Champions/Clash Of Champions,Armageddon,In Your House,TLC: Tables,Ladders & Chairs,No Way Out","http://www.wwe.com,https://www.facebook.com/WWE,https://twitter.com/WWE,https://www.youtube.com/user/WWEFanNation,https://instagram.com/wwe","Monday Night RAW/RAW is WAR/RAW,SmackDown/Thursday Night SmackDown/Friday Night SmackDown/SmackDown Live,NXT/NXT 2.0,NXT UK,NXT Level Up,205 Live,Main Event,Superstars,Tough Enough,ECW on Sci Fi/ECW on Syfy,Heat/Sunday Night Heat,Velocity,Jakked,Prime Time Wrestling,Saturday Night's Main Event,Super Astros,Challenge,All American Wrestling,Championship Wrestling,All-Star Wrestling,MSG Network,Mania,Action Zone,Saturday Morning Slam,Shotgun Saturday Night",
UWF,1990 - 1994,Universal Wrestling Federation ,"Marina del Rey, California, USA","Universal Wrestling Federation ,UWF Fury Hour ","/site/main/img/ligen/small/300.gif,/site/main/img/ligen/small/300_UWF Fury Hour.gif",Universal Wrestling Federation  (1990 - 1994),,"Herb Abrams, (1990 - 1994)",,,Fury Hour,
IWA EC,2004 - today,IWA East Coast,"Dunbar, West Virginia, USA",IWA East Coast,/site/main/img/ligen/small/29.gif,"IWA East Coast (2004 - today),Independent Wrestling Association East Coast (2004 - today)",,"Mad Man Pondo, (2004 - today)","Need To Bleed,Masters Of Pain,Zero G Crown","http://www.iwaeastcoast.com/,http://www.myspace.com/iwaeastcoast,https://twitter.com/iwaeastcoast,https://www.facebook.com/iwaeastcoast",,
HOH,2012 - today,House Of Hardcore,"New York, USA",House Of Hardcore,/site/main/img/ligen/small/949.gif,House Of Hardcore (2012 - today),,"Tommy Dreamer, (2012 - today)",,"http://www.houseofhardcore.net/,https://www.facebook.com/HouseOfHardcore,https://twitter.com/houseofhardcore,http://www.youtube.com/user/TheHouseofHardcore,http://websta.me/n/houseofhardcore,https://www.flickr.com/photos/85202216@N02/sets,https://www.twitch.tv/houseofhardcore",,
FIP,2003 - today,Full Impact Pro,"Largo, Florida, USA",Full Impact Pro,/site/main/img/ligen/small/47.gif,Full Impact Pro (2003 - today),,Sal Hamaoui (2003 - today),,"http://www.fullimpactpro.com/,http://www.myspace.com/FullImpactPro,https://www.facebook.com/pages/FIP-Full-Impact-Pro-Wrestling/247083985307287?fref=ts,https://twitter.com/WWNFIP,https://www.youtube.com/c/FullImpactProWrestling",,
"AWA, Minneapolis Boxing & Wrestling Club",1933 - 1991,American Wrestling Association,"Minneapolis, Minnesota, USA",American Wrestling Association,/site/main/img/ligen/small/41.gif,"American Wrestling Association (1960 - 1991),Minneapolis Boxing & Wrestling Club (1933 - 1960)",,"Verne Gagne, (1959 - 1991),Wally Karbo, (1952 - 1985),Dennis Stecher (1952 - 1959),Tony Stecher, (1933 - 1954)",SuperClash,,"Championship Wrestling,All Star Wrestling,AWA TV",
"Klondike Wrestling, Big Time Wrestling, Wildcat Wrestling, Stampede",1948 - 2011,Stampede Wrestling,"Calgary, Alberta, Canada",Stampede Wrestling,/site/main/img/ligen/small/115.gif,"Stampede Wrestling (09.1967 - 2011),Wildcat Wrestling (1965 - 08.1967),Big Time Wrestling   (05.1951 - 1965),Klondike Wrestling (1948 - 04.1951)",,"Smith Hart, (2011),Bill Bell & ,Devon Nicholson, (2005 - 2008),Bruce Hart, & ,Ross Hart, (1999 - 2005),Foothills Athletic Club (,Stu Hart,) (1985 - 1990),Foothills Athletic Club (,Stu Hart,) (1959 - 24.08.1984),Foothills Athletic Club (,Stu Hart, & ,Al Oeming,) (1948 - 1959)",,,,
XPW,1999 - today,Xtreme Pro Wrestling,"Rochester, New York, USA","Xtreme Pro Wrestling, (2021 - today)","/site/main/img/ligen/small/39.gif,/site/main/img/ligen/small/39__2021-.gif",Xtreme Pro Wrestling (1999 - today),,"Rob Black, (1999 - today)",,"https://www.facebook.com/TheRobZicariShow/,https://www.instagram.com/thexpwwrestling/,https://twitter.com/Thexpwwrestling,https://www.thexpwwrestling.com",,
